SessionID,AdClicks,InfoSectionCount,InfoSectionTime,HelpPageVisits,HelpPageTime,ItemBrowseCount,ItemBrowseTime,ExitRateFirstPage,SessionExitRatio,PageEngagementScore,HolidayProximityIndex,VisitMonth,UserPlatformID,WebClientCode,MarketZone,TrafficSourceCode,UserCategory,IsWeekendVisit,MonetaryConversion
jv3uDyqYltpoXreO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,February,Windows,Safari,North America,1.0,Returning,False,No
eBHG5YGyco8TRlac,4.0,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,February,Android,Chrome,,2.0,Returning,False,No
Lz5fuqr91SKGHb5N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,February,MacOS,Safari,Other,3.0,Returning,False,No
cyOsumxkpNEvKIdc,4.0,0.0,0.0,0.0,0.0,2.0,2.666666667,0.05,0.14,0.0,0.0,February,iOS,,Europe,4.0,Returning,False,No
F4rTMKOqtoPKzxw9,2.0,0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,,February,iOS,Internet Explorer,,4.0,Returning,True,No
4VMhpHx3vORvMBM6,2.0,0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789474,0.024561404,0.0,0.0,February,,Chrome,North America,3.0,Returning,False,No
Sh1EYwNiXcpybejd,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,February,Android,Edge,Asia-Pacific,3.0,Returning,False,No
qAu6Pi4UMWbv6CUs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,February,Windows,Chrome,North America,5.0,,True,No
isv5YRz1f8xaebTG,,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,February,Android,Chrome,Europe,3.0,Returning,False,No
fhZ1zBBiKD6zN76T,1.0,0.0,0.0,0.0,0.0,,,0.0,0.022222222,0.0,0.4,February,Android,Edge,North America,2.0,Returning,False,No
ce2ZN1VHlrRHgmUl,0.0,0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,February,Windows,Safari,Asia-Pacific,3.0,Returning,False,No
MF1J9gxqh9HKCCgf,2.0,0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,0.4,February,Windows,Safari,South America,3.0,Returning,False,No
CMzyGkiPNTYntFvt,2.0,0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,February,Windows,Safari,North America,3.0,Returning,False,No
kQmdskcIY8NsTXDU,3.0,0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,February,Android,Firefox,North America,3.0,Returning,False,No
chFWvPLQexY11n33,2.0,0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,February,iOS,Chrome,Asia-Pacific,3.0,Returning,False,No
tLritlvwwoIt8FAo,3.0,2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636,0.0,0.0,February,Windows,Safari,Other,3.0,Returning,False,No
wEwG5ELGJ60PqjXL,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,,,February,Windows,Safari,South America,3.0,Returning,False,No
tAkDW6TzsKZGoi4c,0.0,0.0,0.0,0.0,0.0,13.0,334.9666667,0.0,0.007692308,0.0,0.0,February,Windows,Safari,North America,4.0,,True,No
JppCZCd58pDs49ND,1.0,0.0,0.0,0.0,0.0,,,0.0,0.1,0.0,0.0,February,Android,Chrome,North America,3.0,Returning,False,No
gGvQ9aOhqSsbPjKc,3.0,0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,0.01,0.0,0.0,February,Android,Edge,South America,4.0,Returning,False,No
dCuA0xRwWeHBYPGU,3.0,0.0,0.0,0.0,0.0,8.0,136.1666667,0.0,0.008333333,0.0,1.0,February,Android,Chrome,Africa,1.0,Returning,True,No
qWLlW2rUhxfIGRm5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,February,iOS,Internet Explorer,North America,3.0,Returning,False,No
